simulation_s,vx,vy,wz
100.69000000000001,0.056580384237189474,-0.008252523315596805,0.0
100.7,0.056580384237189474,-0.008252523315596805,0.0
100.712,0.05543698429538752,-0.008085752889183588,0.0
100.71600000000001,0.05543698429538752,-0.008085752889183588,0.0
100.72000000000001,0.05543698429538752,-0.008085752889183588,0.0
100.73,0.054314523825780545,-0.007922036586337777,0.0
100.74000000000001,0.054314523825780545,-0.007922036586337777,0.0
100.75200000000001,0.05321700876016036,-0.0077619586916361115,0.0
100.756,0.05321700876016036,-0.0077619586916361115,0.0
100.768,0.05321700876016036,-0.0077619586916361115,0.0
100.78,0.052139498419756285,-0.007604798583120251,0.0
100.78800000000001,0.052139498419756285,-0.007604798583120251,0.0
100.80000000000001,0.05107515826063209,-0.007449559409414531,0.0
100.81200000000001,0.05107515826063209,-0.007449559409414531,0.0
100.816,0.05048144029628383,-0.0073629627650887595,0.0
100.82000000000001,0.05003021328712426,-0.00729714911758482,0.0
100.828,0.05003021328712426,-0.00729714911758482,0.0
100.84,0.04900989757312321,-0.007148331122693364,0.0
100.854,0.04900989757312321,-0.007148331122693364,0.0
100.864,0.048009293323198615,-0.007002388140429345,0.0
100.876,0.04702909538727753,-0.006859421518022129,0.0
100.888,0.04702909538727753,-0.006859421518022129,0.0
100.89800000000001,0.046066826702143335,-0.00671906996378776,0.0
100.91000000000001,0.046066826702143335,-0.00671906996378776,0.0
100.914,0.045176249755618667,-0.006589174997300007,0.0
100.914,0.045176249755618667,-0.006589174997300007,0.0
100.92200000000001,0.0451281693473018,-0.006582162236581904,0.0
100.93400000000001,0.044210395136592966,-0.006448300417220708,0.0
100.94800000000001,0.044210395136592966,-0.006448300417220708,0.0
100.956,0.0433132422495916,-0.006317446317924016,0.0
100.968,0.04243262297392149,-0.006189003726019071,0.0
100.98,0.04243262297392149,-0.006189003726019071,0.0
100.988,0.041576925575738846,-0.0060641961108044975,0.0
100.998,0.041576925575738846,-0.0060641961108044975,0.0
101.01,0.041576925575738846,-0.0060641961108044975,0.0
101.01400000000001,0.0409832076113884,-0.005977599466478997,0.0
101.016,0.040738541500537406,-0.005941913727707312,0.0
101.024,0.040738541500537406,-0.005941913727707312,0.0
101.036,0.040738541500537406,-0.005941913727707312,0.0
101.048,0.03991035654082155,-0.005821118935064228,0.0
101.05600000000001,0.03958119763936396,-0.005773109511659079,0.0
101.06800000000001,0.03958119763936396,-0.005773109511659079,0.0
101.08200000000001,0.03958119763970069,-0.005773109509350509,0.0
101.09,0.03958119763970069,-0.005773109509350509,0.0
101.102,0.03958119764004218,-0.005773109507009184,0.0
101.11200000000001,0.03958119764039194,-0.005773109504611177,0.0
101.11200000000001,0.03958119764039194,-0.005773109504611177,0.0
101.12,0.03958119764039194,-0.005773109504611177,0.0
101.132,0.03958119764039194,-0.005773109504611177,0.0
101.146,0.039581197640747336,-0.005773109502174523,0.0
101.156,0.03958119764111233,-0.005773109499672048,0.0
101.16600000000001,0.03958119764111233,-0.005773109499672048,0.0
101.182,0.0395811976414868,-0.005773109497104665,0.0
101.19000000000001,0.0395811976414868,-0.005773109497104665,0.0
101.20200000000001,0.03958119764186974,-0.005773109494479129,0.0
101.212,0.03958119764226279,-0.005773109491784398,0.0
101.212,0.03958119764226279,-0.005773109491784398,0.0
101.21600000000001,0.03958119764226279,-0.005773109491784398,0.0
101.224,0.03958119764226279,-0.005773109491784398,0.0
101.238,0.03958119764266304,-0.005773109489040141,0.0
101.25,0.03958119764307471,-0.005773109486217704,0.0
101.26,0.03958119764307471,-0.005773109486217704,0.0
101.274,0.03958119764349411,-0.00577310948334226,0.0
101.28200000000001,0.03958119764349411,-0.00577310948334226,0.0
101.29,0.03958119764392597,-0.005773109480381401,0.0
101.302,0.03958119764392597,-0.005773109480381401,0.0
101.31,0.03958119764392597,-0.005773109480381401,0.0
101.31,0.03958119764392597,-0.005773109480381401,0.0
101.31400000000001,0.03958119764436869,-0.005773109477346048,0.0
101.31800000000001,0.03958119764436869,-0.005773109477346048,0.0
101.32400000000001,0.03958119764436869,-0.005773109477346048,0.0
101.33600000000001,0.039581197644825435,-0.005773109474214533,0.0
101.346,0.039581197644825435,-0.005773109474214533,0.0
101.352,0.03958119764529709,-0.005773109470980758,0.0
101.36200000000001,0.03958119764529709,-0.005773109470980758,0.0
101.37400000000001,0.03958119764529709,-0.005773109470980758,0.0
101.384,0.03958119764578174,-0.005773109467657983,0.0
101.39200000000001,0.03958119764578174,-0.005773109467657983,0.0
101.402,0.03958119764628627,-0.005773109464198827,0.0
101.41000000000001,0.0395811976468122,-0.005773109460592988,0.0
101.41000000000001,0.0395811976468122,-0.005773109460592988,0.0
101.412,0.0395811976468122,-0.005773109460592988,0.0
101.42200000000001,0.0395811976468122,-0.005773109460592988,0.0
101.432,0.0395811976468122,-0.005773109460592988,0.0
101.444,0.03958119764734602,-0.00577310945693302,0.0
101.45,0.03958119764734602,-0.00577310945693302,0.0
101.46000000000001,0.039581197647903715,-0.0057731094531094365,0.0
101.47200000000001,0.039581197647903715,-0.0057731094531094365,0.0
101.482,0.0395811976484876,-0.0057731094491062064,0.0
101.494,0.039581197649088073,-0.005773109444989329,0.0
101.506,0.039581197649088073,-0.005773109444989329,0.0
101.50800000000001,0.03958119764970944,-0.0057731094407291956,0.0
101.50800000000001,0.03958119764970944,-0.0057731094407291956,0.0
101.51,0.03958119764970944,-0.0057731094407291956,0.0
101.52000000000001,0.03958119764970944,-0.0057731094407291956,0.0
101.53,0.03958119764970944,-0.0057731094407291956,0.0
101.542,0.03958119765034636,-0.005773109436362368,0.0
101.55000000000001,0.03958119765034636,-0.005773109436362368,0.0
101.56,0.039581197651022866,-0.005773109431724105,0.0
101.57400000000001,0.03958119765173547,-0.005773109426838401,0.0
101.584,0.03958119765173547,-0.005773109426838401,0.0
101.59400000000001,0.03958119765246603,-0.005773109421829573,0.0
101.60400000000001,0.03958119765246603,-0.005773109421829573,0.0
101.608,0.03958119765323156,-0.0057731094165810685,0.0
101.608,0.03958119765323156,-0.0057731094165810685,0.0
101.616,0.03958119765323156,-0.0057731094165810685,0.0
101.628,0.03958119765323156,-0.0057731094165810685,0.0
101.64,0.03958119765323156,-0.0057731094165810685,0.0
101.64800000000001,0.039581197654887795,-0.005773109405225685,0.0
101.658,0.039581197654887795,-0.005773109405225685,0.0
101.67200000000001,0.039581197654887795,-0.005773109405225685,0.0
101.682,0.03958119765579561,-0.0057731093990015594,0.0
101.69200000000001,0.03958119765579561,-0.0057731093990015594,0.0
